Threshold,Model,Sensitivity,Specificity,Precision,NPV,Accuracy,F1-score
0.1,3.0±0.7071067811865476,0.9424354243542435±0.010476066100795859,0.46311787072243343±0.06505568974128137,0.6487972861618381±0.024539468849818464,0.8876873024896819±0.00741488921933268,0.7063670411985019±0.027531274497950335,0.7668168282446467±0.01478218483015271
0.2,3.0±0.7071067811865476,0.9114391143911439±0.009261919112923359,0.6494296577946768±0.033868062268659106,0.7304114332956272±0.017194376714289146,0.877951581605181±0.0068736279484553275,0.7823970037453183±0.012789042006714518,0.8100955769222924±0.007893112224139773
0.3,3.0±0.7071067811865476,0.8819188191881919±0.011668921255233873,0.7566539923954373±0.025421315057713723,0.7907101613932479±0.014999233043089531,0.8628348991755596±0.008220007806018592,0.8202247191011235±0.006803708660893259,0.8329762255435131±0.0035865034423906397
0.4,3.0±0.7071067811865476,0.8516605166051662±0.014452513673480544,0.820532319391635±0.02396945629273686,0.8325295929955614±0.015970459226153227,0.8444214307262611±0.009392652954712626,0.8363295880149814±0.005114794113763154,0.8409030273073249±0.0027373057916178656
0.5,3.0±0.7071067811865476,0.8206642066420665±0.016974169741697416,0.8798479087452471±0.021928320692465728,0.8783057984909786±0.017119107483444626,0.8278862044603823±0.010360180002275182,0.849812734082397±0.00403383131620561,0.8471768899606605±0.003549578233846671
0.6,3.0±0.7071067811865476,0.7881918819188192±0.015681571484041163,0.9125475285171103±0.023407975622237846,0.9063419484157441±0.020723840103947094,0.8080365767268487±0.008036918052433718,0.849438202247191±0.004940414216581609,0.8416498453989864±0.0035560726817046033
0.7,3.0±0.7071067811865476,0.7549815498154981±0.016934013144773094,0.9361216730038023±0.02056046514767417,0.9273533649017075±0.020279025057513153,0.7884263124416961±0.008972102372718784,0.8441947565543071±0.006916174274389283,0.830908576234887±0.007375956284399572
0.8,3.0±0.7071067811865476,0.7166051660516606±0.017125906104608565,0.9536121673003801±0.013248099916489993,0.9426649370576305±0.01468856809550873,0.7662551795961041±0.009415391189427065,0.8333333333333334±0.007006849038902518,0.8132248607656025±0.009223314421661513
